STATE,NationalServiceLifeInsurance,Service-DisabledVeteransInsurance,UnitedStatesGovernmentLifeInsurance,VeteransMortgageLifeInsurance,VeteransReopenedInsurance,VeteransSpecialLifeInsurance,Total
Alabama,"107,706,116.00","58,178,149.00","86,000.00","3,117,592.00","2,893,710.00","23,641,639.00","195,623,206.00"
Alaska,"11,580,784.00","4,529,500.00","6,000.00","180,000.00","202,746.00","2,734,900.00","19,233,930.00"
American Samoa,"5,000.00","1,190,000.00",   ,   ,   ,"43,375.00","1,238,375.00"
Arizona,"192,624,784.00","46,079,638.00","244,910.00","5,525,087.00","5,969,712.00","44,625,303.00","295,069,434.00"
Arkansas,"63,894,451.00","37,029,964.00","119,758.00","3,997,195.00","1,785,278.00","14,417,482.00","121,244,128.00"
California,"895,867,915.00","168,453,877.00","1,845,185.00","11,982,918.00","20,854,106.00","204,515,595.00","1,303,519,596.00"
Colorado,"145,069,365.00","36,590,839.00","197,314.00","4,835,830.00","3,199,564.00","32,104,852.00","221,997,764.00"
Connecticut,"136,755,109.00","14,156,496.00","86,000.00","1,638,063.00","6,661,588.00","41,381,840.00","200,679,096.00"
Delaware,"27,297,900.00","7,587,500.00","14,000.00","421,446.00","907,947.00","7,117,384.00","43,346,177.00"
District of Columbia,"15,139,353.00","3,078,500.00","16,000.00",   ,"237,790.00","3,707,846.00","22,179,489.00"
Federated States of Micronesia,"58,428.00","20,000.00",   ,   ,   ,"10,000.00","88,428.00"
Florida,"754,226,801.00","181,647,719.00","735,254.00","17,672,476.00","28,060,495.00","191,547,837.00","1,173,890,582.00"
Georgia,"182,535,372.00","94,785,581.00","167,543.00","7,998,314.00","5,489,344.00","45,842,619.00","336,818,773.00"
Guam,"415,422.00","2,725,000.00","2,950.00","90,000.00","10,000.00","138,240.00","3,381,612.00"
Hawaii,"78,444,571.00","13,175,425.00","61,000.00","450,000.00","1,945,401.00","24,664,449.00","118,740,846.00"
Idaho,"38,730,557.00","9,832,157.00","50,000.00","1,532,912.00","1,314,672.00","9,701,825.00","61,162,123.00"
Illinois,"341,388,215.00","52,521,112.00","171,000.00","4,733,502.00","8,360,140.00","128,314,027.00","535,487,996.00"
Indiana,"124,035,593.00","36,448,615.00","66,766.00","4,429,973.00","3,017,249.00","37,371,994.00","205,370,190.00"
Iowa,"109,654,277.00","16,089,160.00","86,500.00","2,204,535.00","3,014,229.00","33,499,226.00","164,547,927.00"
Kansas,"84,371,507.00","16,927,427.00","66,000.00","1,622,695.00","2,370,374.00","21,005,366.00","126,363,369.00"
Kentucky,"78,432,600.00","40,282,759.00","84,177.00","3,207,768.00","2,588,668.00","20,255,158.00","144,851,130.00"
Louisiana,"87,642,777.00","39,636,261.00","85,500.00","3,263,891.00","3,209,392.00","24,012,936.00","157,850,757.00"
Maine,"41,873,307.00","19,844,750.00","47,000.00","2,179,594.00","1,684,561.00","11,568,062.00","77,197,274.00"
Marshall Islands,   ,"10,000.00",   ,   ,   ,   ,"10,000.00"
Maryland,"184,597,412.00","33,773,163.00","186,500.00","1,976,056.00","5,497,291.00","41,472,281.00","267,502,703.00"
Massachusetts,"208,450,264.00","36,406,115.00","144,000.00","2,168,025.00","15,543,772.00","69,494,491.00","332,206,667.00"
Michigan,"224,942,773.00","57,966,062.00","89,500.00","3,915,727.00","6,586,345.00","73,167,820.00","366,668,227.00"
Minnesota,"179,345,714.00","49,991,252.00","89,000.00","5,013,438.00","6,165,634.00","46,500,117.00","287,105,155.00"
Mississippi,"55,739,955.00","24,299,500.00","32,500.00","2,652,174.00","1,767,268.00","11,208,007.00","95,699,404.00"
Missouri,"157,113,903.00","41,181,031.00","125,678.00","3,467,119.00","4,490,687.00","45,411,126.00","251,789,544.00"
Montana,"34,647,913.00","10,481,762.00","11,000.00","991,292.00","798,017.00","8,528,134.00","55,458,118.00"
Nebraska,"55,807,491.00","17,130,760.00","28,000.00","2,204,311.00","2,409,346.00","16,378,876.00","93,958,784.00"
